Usernames,work,business,company,emotion,social,technology,general,personal,product,politics
@Benioff,293,706,641,353,721,198,235,139,177,69
@BillGates,81,145,11,124,440,83,68,61,27,21
@Bill_Gross,79,193,82,192,180,162,24,27,120,26
@BoeingCEO,148,146,213,83,78,22,6,14,73,2
@ChuckRobbins,253,298,470,275,141,54,26,67,38,12
@IndraNooyi,14,32,34,30,55,3,5,18,2,1
@JeffBezos,26,13,22,31,18,6,0,6,10,0
@JohnLegere,222,186,1092,375,70,34,53,67,205,7
@LisaSu,26,46,84,53,13,13,3,16,27,0
@MichaelDell,162,270,444,150,90,151,6,41,69,2
@WaltBettinger,91,152,153,86,49,20,10,31,6,2
@anandmahindra,221,439,287,347,325,76,86,141,160,85
@aneelb,14,19,64,19,12,6,1,7,4,0
@bchesky,39,101,208,62,86,15,13,76,30,14
@drewhouston,15,16,32,8,10,10,2,6,8,0
@eldsjal,32,41,155,57,33,23,15,25,15,3
@elonmusk,98,181,1073,169,157,337,36,36,369,4
@jack,192,154,309,205,215,132,60,71,82,17
@levie,59,149,124,42,56,74,16,12,73,14
@lloydblankfein,6,16,1,10,23,1,2,4,0,4
@marissamayer,12,12,15,13,7,10,2,9,8,3
@mtbarra,42,68,72,46,37,12,5,13,16,0
@richardbranson,315,552,318,452,472,53,77,115,398,37
@rupertmurdoch,0,0,0,0,0,0,0,0,0,0
@satyanadella,80,141,140,51,113,132,15,10,94,5
@sundarpichai,59,77,88,63,61,73,12,11,52,5
@tim_cook,101,96,137,133,155,36,16,62,74,0
@toddmckinnon,35,24,69,31,8,18,6,8,7,0
@tonyfernandes,293,459,538,396,237,60,169,133,243,97
@westernunionCEO,86,239,452,117,203,26,15,43,37,11
